"Dates","DIS","BABA","JNJ","FB"
"2014-09-19",84.297195,93.889999,96.164101,77.910004
"2014-09-22",83.179306,89.889999,96.066147,76.800003
"2014-09-23",82.266365,87.169998,95.692154,78.290001
"2014-09-24",83.328362,90.57,96.742935,78.540001
"2014-09-25",82.042809,88.919998,95.371574,77.220001
"2014-09-26",82.666954,90.459999,95.371574,78.790001
"2014-09-29",82.750801,88.75,94.872902,79
"2014-09-30",82.937088,88.849998,94.917397,79.040001
"2014-10-01",81.502487,86.099998,92.878204,76.550003
"2014-10-02",80.850395,87.059998,92.477463,77.080002
"2014-10-03",82.396797,88.099998,93.617294,77.440002
"2014-10-06",82.499275,88.309998,93.376869,77.559998
"2014-10-07",81.148506,87.669998,91.177353,76.290001
"2014-10-08",82.08007,88.300003,93.421394,77.519997
"2014-10-09",79.844315,88.790001,90.901291,75.910004
"2014-10-10",80.365982,85.879997,90.144386,72.910004
"2014-10-13",78.16748,85.120003,88.265434,72.989998
"2014-10-14",78.381752,84.949997,86.386513,73.589996
"2014-10-15",76.462738,85.599998,87.455101,73.209999
"2014-10-16",76.146004,88.849998,86.181702,72.629997
"2014-10-17",78.092972,87.910004,87.891434,75.949997
"2014-10-20",79.66732,88.260002,88.336678,76.949997
"2014-10-21",81.54908,90.900002,89.369667,78.690002
"2014-10-22",81.139191,91.629997,90.13549,78.370003
"2014-10-23",81.968285,94.449997,91.39106,80.040001
"2014-10-24",82.545853,95.760002,91.836311,80.669998
"2014-10-27",82.396797,97.790001,92.673363,80.279999
"2014-10-28",83.775505,99.68,93.314522,80.769997
"2014-10-29",83.402885,98.309998,94.000221,75.860001
"2014-10-30",84.045654,98.730003,95.318146,74.110001
"2014-10-31",85.126274,98.599998,95.977112,74.989998
"2014-11-03",85.433693,101.800003,95.692154,73.879997
"2014-11-04",84.166771,106.07,96.725121,75.760002
"2014-11-05",84.772278,108.669998,96.903236,74.830002
"2014-11-06",85.703842,111.57,97.072411,75.260002
"2014-11-07",83.840714,114.559998,96.351128,75.599998
"2014-11-10",83.63578,119.150002,96.903236,75
"2014-11-11",83.82209,114.540001,96.983353,74.610001
"2014-11-12",83.747559,118.199997,96.840874,74.720001
"2014-11-13",84.297195,114.839996,97.125839,74.25
"2014-11-14",84.585983,115.099998,96.315483,74.879997
"2014-11-17",84.222672,114.25,96.440163,74.239998
"2014-11-18",84.101555,110.809998,96.912117,74.339996
"2014-11-19",83.673035,108.82,96.84977,73.330002
"2014-11-20",82.816002,109.82,96.333298,73.599998
"2014-11-21",82.871895,110.730003,96.673882,73.75
"2014-11-24",84.381035,113.919998,95.795532,74.010002
"2014-11-25",85.377792,113.470001,95.634186,75.629997
"2014-11-26",85.629318,112.669998,96.091301,77.620003
"2014-11-28",86.178947,111.639999,97.023453,77.699997
"2014-12-01",86.355942,105.989998,96.826263,75.099998
"2014-12-02",87.073242,109.889999,97.25647,75.459999
"2014-12-03",86.737892,110.639999,96.548416,74.879997
"2014-12-04",86.849686,109.169998,96.405006,75.239998
"2014-12-05",87.343407,107.900002,97.25647,76.360001
"2014-12-08",87.380669,105.07,97.265442,76.519997
"2014-12-09",86.579529,107.480003,96.84417,76.839996
"2014-12-10",85.359161,103.879997,95.221893,76.18
"2014-12-11",86.557289,104.970001,95.652115,77.730003
"2014-12-12",86.312004,105.110001,93.599586,77.830002
"2014-12-15",85.755417,104.699997,93.178352,76.989998
"2014-12-16",85.066711,105.769997,92.102814,74.690002
"2014-12-17",86.208229,109.019997,93.276947,76.110001
"2014-12-18",87.368607,109.25,95.732788,78.400002
"2014-12-19",87.632774,110.650002,94.603455,79.879997
"2014-12-22",88.868629,108.769997,95.670052,81.449997
"2014-12-23",89.330902,105.519997,93.465164,80.610001
"2014-12-24",89.076172,105.949997,93.743011,80.769997
"2014-12-26",89.651657,105.949997,94.164268,80.779999
"2014-12-29",90.095055,105.980003,94.406281,80.019997
"2014-12-30",89.34034,105.75,94.433151,79.220001
"2014-12-31",88.859207,103.940002,93.72509,78.019997
"2015-01-02",88.444107,103.599998,93.680275,78.449997
"2015-01-05",87.151634,101,93.025986,77.190002
"2015-01-06",86.689369,103.32,92.568871,76.150002
"2015-01-07",87.576164,102.129997,94.612419,76.150002
"2015-01-08",88.481834,105.029999,95.356331,78.18
"2015-01-09",88.915787,103.019997,94.056717,77.739998
"2015-01-12",89.113914,101.620003,93.734062,76.720001
"2015-01-13",89.802589,100.769997,93.895386,76.449997
"2015-01-14",88.896935,99.580002,93.214211,76.279999
"2015-01-15",89.010139,96.309998,91.860802,74.050003
"2015-01-16",89.793159,96.889999,93.250061,75.18
"2015-01-20",89.378067,100.040001,90.785263,76.239998
"2015-01-21",88.84034,103.290001,91.332008,76.739998
"2015-01-22",89.764862,104,92.999084,77.650002
"2015-01-23",89.359207,103.110001,91.600876,77.830002
"2015-01-26",89.595055,103.989998,91.654663,77.5
"2015-01-27",88.651657,102.940002,91.502281,75.779999
"2015-01-28",87.425217,98.449997,90.955544,76.239998
"2015-01-29",87.944107,89.809998,91.762207,78
"2015-01-30",85.811996,89.080002,89.754532,75.910004
"2015-02-02",86.727112,90.129997,90.372971,74.989998
"2015-02-03",88.774292,90.610001,91.833916,75.400002
"2015-02-04",95.547928,90,90.848,75.629997
"2015-02-05",96.830963,87,91.833916,75.610001
"2015-02-06",96.246048,85.68,90.614952,74.470001
"2015-02-09",95.972458,86,89.431854,74.440002
"2015-02-10",96.151718,87.260002,89.942749,75.190002
"2015-02-11",96.104546,86,89.969627,76.510002
"2015-02-12",97.717766,87.099998,88.230835,76.230003
"2015-02-13",98.274376,89.050003,89.288452,75.739998
"2015-02-17",98.227203,86.849998,90.023415,75.599998
"2015-02-18",97.981911,86.739998,89.593193,76.709999
"2015-02-19",98.010208,86.889999,90.256447,79.419998
"2015-02-20",98.632866,86.639999,90.491112,79.900002
"2015-02-23",99.047966,85.470001,90.418907,78.839996
"2015-02-24",98.746063,84.690002,90.888245,78.449997
"2015-02-25",99.595131,86.190002,91.348549,79.559998
"2015-02-26",98.642303,85.370003,92.783638,80.410004
"2015-02-27",98.189468,85.120003,92.521881,78.970001
"2015-03-02",99.897018,84,93.162704,79.75
"2015-03-03",100.330986,81.580002,92.368454,79.599998
"2015-03-04",99.595131,85.489998,91.745682,80.900002
"2015-03-05",99.085693,86.099998,92.530922,81.209999
"2015-03-06",97.944168,84.400002,90.355736,80.010002
"2015-03-09",99.302681,82.529999,90.852158,79.440002
"2015-03-10",97.255493,82.970001,89.832253,77.550003
"2015-03-11",97.066818,81.989998,88.740166,77.57
"2015-03-12",101.104576,81.919998,90.103012,78.93
"2015-03-13",100.415901,81.860001,89.543419,78.050003
"2015-03-16",101.293259,84,91.213173,78.07
"2015-03-17",100.906464,84.5,90.157173,79.360001
"2015-03-18",101.859306,84.589996,91.574203,80.910004
"2015-03-19",101.293259,85.739998,91.781784,82.75
"2015-03-20",102.293266,85.199997,92.422607,83.800003
"2015-03-23",102.095154,84.25,92.946091,84.43
"2015-03-24",101.047974,83.629997,92.025467,85.309998
"2015-03-25",99.057396,83.75,90.563316,82.919998
"2015-03-26",99.283798,84.169998,90.382797,83.010002
"2015-03-27",99.510231,84.580002,90.563316,83.300003
"2015-03-30",100.114014,83.900002,91.655426,83.199997
"2015-03-31",98.953621,83.239998,90.797997,82.220001
"2015-04-01",99.472488,82.360001,89.489273,81.669998
"2015-04-02",100.000793,82.279999,89.931511,81.559998
"2015-04-06",99.651733,81.82,89.498291,82.440002
"2015-04-07",99.463058,82.209999,90.346695,82.32
"2015-04-08",100.340424,85.389999,90.400856,82.279999
